Буква;Повторения;Частота
О;93560;0.11184
Е;72696;0.0869
А;65478;0.078271
Н;56620;0.067683
Т;54384;0.06501
И;52504;0.062762
С;45924;0.054897
Л;37440;0.044755
Р;35392;0.042307
В;34699;0.041479
М;29485;0.035246
К;28387;0.033933
Д;25291;0.030232
У;24226;0.028959
П;21722;0.025966
Я;20921;0.025009
Ы;16107;0.019254
Ь;15692;0.018758
Г;15186;0.018153
Б;14017;0.016756
З;13705;0.016383
Ч;13108;0.015669
Й;10040;0.012002
Ж;8684;0.010381
Х;7635;0.0091268
Ш;7135;0.0085291
Ю;6399;0.0076493
Э;3212;0.0038396
Ц;2884;0.0034475
Щ;2632;0.0031463
Ф;1386;0.0016568
Энтропия: 4.4695
