Буква;Повторения;Частота
_;159100;0.15979
О;93560;0.093969
Е;72696;0.073014
А;65478;0.065764
Н;56620;0.056867
Т;54384;0.054622
И;52504;0.052733
С;45924;0.046125
Л;37440;0.037604
Р;35392;0.035547
В;34699;0.034851
М;29485;0.029614
К;28387;0.028511
Д;25291;0.025401
У;24226;0.024332
П;21722;0.021817
Я;20921;0.021012
Ы;16107;0.016177
Ь;15692;0.015761
Г;15186;0.015252
Б;14017;0.014078
З;13705;0.013765
Ч;13108;0.013165
Й;10040;0.010084
Ж;8684;0.0087219
Х;7635;0.0076683
Ш;7135;0.0071662
Ю;6399;0.006427
Э;3212;0.003226
Ц;2884;0.0028966
Щ;2632;0.0026435
Ф;1386;0.0013921
Энтропия: 4.3891
