аСЙБЮ;оНБРНПЕМХЪ;вЮЯРНРЮ
рн;11962;0.01785
яр;11246;0.016782
мю;10626;0.015857
мн;9849;0.014697
ме;9637;0.014381
он;8799;0.01313
йн;7553;0.011271
ем;7438;0.011099
ер;7154;0.010676
цн;7136;0.010649
нм;7028;0.010488
пю;6937;0.010352
йю;6702;0.010001
еп;6666;0.0099473
мх;6593;0.0098384
нр;6429;0.0095937
пн;6361;0.0094922
юк;6031;0.0089998
оп;5994;0.0089445
нк;5963;0.0088983
ре;5946;0.0088729
кх;5860;0.0087446
бю;5730;0.0085506
бн;5678;0.008473
пе;5572;0.0083148
нб;5536;0.0082611
ня;5532;0.0082551
рэ;5448;0.0081298
кн;5410;0.0080731
рю;5345;0.0079761
гю;5144;0.0076761
ек;5075;0.0075732
нл;4981;0.0074329
нп;4823;0.0071971
пх;4774;0.007124
кю;4709;0.007027
бе;4584;0.0068405
де;4581;0.006836
лн;4539;0.0067733
хр;4437;0.0066211
юй;4348;0.0064883
нц;4320;0.0064465
ле;4319;0.006445
юм;4286;0.0063958
нд;4180;0.0062376
ке;4175;0.0062301
юр;4157;0.0062033
ея;4121;0.0061496
юя;4086;0.0060973
рх;4015;0.0059914
яъ;4007;0.0059794
дю;3998;0.005966
дн;3901;0.0058213
ел;3895;0.0058123
ни;3816;0.0056944
ве;3770;0.0056258
хк;3755;0.0056034
кэ;3700;0.0055213
хя;3549;0.005296
ец;3465;0.0051706
на;3445;0.0051408
яе;3331;0.0049707
яй;3318;0.0049513
вр;3265;0.0048722
фе;3224;0.004811
юг;3201;0.0047767
мш;3173;0.0047349
хм;2996;0.0044708
аш;2973;0.0044365
ун;2923;0.0043618
юл;2904;0.0043335
рп;2867;0.0042783
яэ;2844;0.004244
як;2780;0.0041485
лх;2767;0.0041291
бх;2766;0.0041276
юе;2705;0.0040365
ед;2685;0.0040067
лю;2660;0.0039694
еи;2643;0.003944
хл;2636;0.0039336
ян;2634;0.0039306
бш;2603;0.0038843
хб;2492;0.0037187
юб;2480;0.0037008
пс;2476;0.0036948
мм;2454;0.003662
йп;2437;0.0036366
лм;2383;0.003556
дх;2382;0.0035545
щр;2375;0.0035441
йх;2372;0.0035396
нй;2342;0.0034948
бя;2328;0.003474
не;2327;0.0034725
мс;2323;0.0034665
ан;2316;0.0034561
мъ;2283;0.0034068
нв;2218;0.0033098
рб;2137;0.0031889
юд;2119;0.0031621
нф;2103;0.0031382
ае;2101;0.0031352
юч;2091;0.0031203
ье;2089;0.0031173
ря;2047;0.0030546
лс;1988;0.0029666
хг;1978;0.0029517
вю;1961;0.0029263
юп;1934;0.002886
хе;1909;0.0028487
хй;1805;0.0026935
юъ;1778;0.0026532
сд;1766;0.0026353
рш;1728;0.0025786
яо;1720;0.0025667
йс;1696;0.0025309
ое;1692;0.0025249
дм;1670;0.0024921
цк;1660;0.0024771
ях;1615;0.00241
гм;1613;0.002407
шк;1571;0.0023443
къ;1522;0.0022712
вх;1520;0.0022682
яю;1506;0.0022473
ши;1501;0.0022399
дс;1486;0.0022175
хд;1474;0.0021996
фх;1453;0.0021682
ою;1425;0.0021265
ср;1422;0.002122
кс;1418;0.002116
ьх;1371;0.0020459
лш;1368;0.0020414
эм;1368;0.0020414
ху;1363;0.0020339
пш;1341;0.0020011
рс;1316;0.0019638
ск;1315;0.0019623
ър;1300;0.0019399
яб;1284;0.001916
цп;1254;0.0018713
сф;1253;0.0018698
нг;1252;0.0018683
ся;1239;0.0018489
еб;1237;0.0018459
еа;1221;0.001822
ые;1203;0.0017952
рм;1197;0.0017862
цд;1178;0.0017579
хъ;1176;0.0017549
ег;1168;0.0017429
но;1146;0.0017101
фю;1140;0.0017012
ап;1136;0.0016952
ей;1129;0.0016848
цю;1128;0.0016833
ям;1123;0.0016758
ее;1114;0.0016624
шб;1096;0.0016355
юь;1086;0.0016206
дп;1079;0.0016101
ев;1079;0.0016101
ас;1070;0.0015967
ял;1057;0.0015773
юф;1034;0.001543
мэ;1030;0.001537
шл;1030;0.001537
