аСЙБЮ;оНБРНПЕМХЪ;вЮЯРНРЮ
н_;17295;0.01824
_м;14811;0.015621
_я;14638;0.015438
_о;14446;0.015236
_б;14099;0.01487
е_;13626;0.014371
рн;11962;0.012616
яр;11246;0.011861
_н;11067;0.011672
ю_;10931;0.011529
х_;10800;0.01139
ъ_;10786;0.011376
мю;10626;0.011207
мн;9849;0.010387
ме;9637;0.010164
он;8799;0.00928
_л;8684;0.0091587
_й;8644;0.0091165
_х;8462;0.0089246
йн;7553;0.0079659
ем;7438;0.0078446
ер;7154;0.0075451
цн;7136;0.0075261
нм;7028;0.0074122
пю;6937;0.0073162
_д;6879;0.007255
э_;6786;0.0071569
йю;6702;0.0070684
еп;6666;0.0070304
мх;6593;0.0069534
_р;6566;0.0069249
нр;6429;0.0067804
пн;6361;0.0067087
юк;6031;0.0063607
р_;6007;0.0063354
оп;5994;0.0063217
нк;5963;0.006289
ре;5946;0.006271
кх;5860;0.0061803
бю;5730;0.0060432
бн;5678;0.0059884
_а;5653;0.005962
пе;5572;0.0058766
нб;5536;0.0058386
ня;5532;0.0058344
и_;5455;0.0057532
рэ;5448;0.0057458
кн;5410;0.0057057
рю;5345;0.0056372
гю;5144;0.0054252
л_;5133;0.0054136
ек;5075;0.0053524
нл;4981;0.0052533
_в;4947;0.0052174
нп;4823;0.0050866
пх;4774;0.005035
кю;4709;0.0049664
с_;4638;0.0048915
_с;4635;0.0048884
бе;4584;0.0048346
де;4581;0.0048314
_ъ;4569;0.0048188
лн;4539;0.0047871
хр;4437;0.0046795
_г;4402;0.0046426
юй;4348;0.0045857
нц;4320;0.0045561
ле;4319;0.0045551
к_;4287;0.0045213
юм;4286;0.0045203
нд;4180;0.0044085
ке;4175;0.0044032
ш_;4167;0.0043948
юр;4157;0.0043842
ея;4121;0.0043463
юя;4086;0.0043094
б_;4033;0.0042535
рх;4015;0.0042345
яъ;4007;0.004226
дю;3998;0.0042165
дн;3901;0.0041142
ел;3895;0.0041079
ни;3816;0.0040246
м_;3772;0.0039782
ве;3770;0.0039761
хк;3755;0.0039603
_п;3707;0.0039096
кэ;3700;0.0039023
хя;3549;0.003743
_ц;3492;0.0036829
_е;3472;0.0036618
ец;3465;0.0036544
на;3445;0.0036333
яе;3331;0.0035131
яй;3318;0.0034994
й_;3272;0.0034509
вр;3265;0.0034435
фе;3224;0.0034002
юг;3201;0.003376
мш;3173;0.0033464
хм;2996;0.0031598
аш;2973;0.0031355
