аСЙБЮ;оНБРНПЕМХЪ;вЮЯРНРЮ
рн;6019;0.017968
яр;5689;0.016983
мю;5353;0.01598
мн;4887;0.014589
ме;4816;0.014377
он;4438;0.013248
ем;3758;0.011218
йн;3738;0.011159
цн;3610;0.010777
ер;3543;0.010577
пю;3493;0.010427
йю;3442;0.010275
нм;3437;0.01026
еп;3292;0.0098274
мх;3246;0.00969
пн;3235;0.0096572
нр;3188;0.0095169
оп;3046;0.009093
юк;3003;0.0089646
нк;2973;0.0088751
ре;2971;0.0088691
кх;2934;0.0087587
бю;2881;0.0086004
бн;2840;0.008478
пе;2822;0.0084243
ня;2770;0.0082691
нб;2752;0.0082153
рэ;2751;0.0082124
кн;2717;0.0081109
рю;2656;0.0079288
гю;2580;0.0077019
ек;2542;0.0075884
нл;2480;0.0074034
нп;2414;0.0072063
кю;2365;0.0070601
пх;2354;0.0070272
де;2295;0.0068511
хр;2262;0.0067526
лн;2251;0.0067197
бе;2230;0.0066571
ле;2199;0.0065645
юй;2159;0.0064451
нц;2132;0.0063645
юм;2126;0.0063466
нд;2115;0.0063138
ке;2050;0.0061197
ея;2048;0.0061137
юя;2038;0.0060839
дю;2023;0.0060391
рх;1991;0.0059436
ве;1979;0.0059078
юр;1969;0.0058779
яъ;1936;0.0057794
дн;1928;0.0057555
ел;1895;0.005657
хк;1866;0.0055704
кэ;1864;0.0055645
ни;1845;0.0055077
хя;1770;0.0052839
ец;1752;0.0052301
на;1733;0.0051734
яй;1686;0.0050331
яе;1645;0.0049107
вр;1645;0.0049107
фе;1620;0.0048361
мш;1618;0.0048301
юг;1539;0.0045943
хм;1511;0.0045107
ун;1493;0.0044569
аш;1491;0.004451
рп;1443;0.0043077
лх;1426;0.0042569
яэ;1418;0.0042331
юл;1409;0.0042062
бх;1390;0.0041495
як;1365;0.0040748
юе;1353;0.004039
лю;1353;0.004039
ед;1345;0.0040151
ян;1332;0.0039763
хл;1302;0.0038868
еи;1301;0.0038838
бш;1299;0.0038778
пс;1240;0.0037017
юб;1231;0.0036748
хб;1230;0.0036718
йп;1228;0.0036659
мъ;1199;0.0035793
дх;1194;0.0035644
мс;1188;0.0035464
бя;1184;0.0035345
мм;1184;0.0035345
ан;1182;0.0035285
йх;1181;0.0035256
лм;1181;0.0035256
щр;1170;0.0034927
не;1165;0.0034778
нй;1130;0.0033733
нв;1096;0.0032718
юч;1088;0.0032479
рб;1084;0.003236
ье;1071;0.0031972
юд;1052;0.0031405
ае;1051;0.0031375
ря;1032;0.0030808
нф;1021;0.0030479
вю;999;0.0029822
хг;987;0.0029464
лс;985;0.0029404
хе;957;0.0028569
юп;931;0.0027792
хй;925;0.0027613
сд;901;0.0026897
юъ;860;0.0025673
ое;855;0.0025524
йс;843;0.0025165
рш;841;0.0025106
ях;823;0.0024568
яо;823;0.0024568
дм;820;0.0024479
цк;815;0.002433
гм;806;0.0024061
шк;777;0.0023195
хд;770;0.0022986
вх;757;0.0022598
яю;754;0.0022509
ши;741;0.0022121
къ;740;0.0022091
ою;738;0.0022031
дс;736;0.0021971
кс;735;0.0021941
фх;713;0.0021285
ху;713;0.0021285
ср;702;0.0020956
лш;691;0.0020628
яб;675;0.002015
эм;674;0.002012
ьх;658;0.0019643
рс;653;0.0019494
ск;650;0.0019404
ър;648;0.0019344
нг;647;0.0019314
сф;633;0.0018896
еб;624;0.0018628
пш;624;0.0018628
рм;624;0.0018628
цп;620;0.0018508
ег;608;0.001815
еа;597;0.0017822
ся;594;0.0017732
хъ;583;0.0017404
цд;581;0.0017344
ям;581;0.0017344
ые;577;0.0017225
цю;559;0.0016687
ей;558;0.0016658
фю;555;0.0016568
шб;554;0.0016538
но;542;0.001618
ап;541;0.001615
ее;540;0.001612
ял;538;0.0016061
юь;535;0.0015971
кя;535;0.0015971
ас;534;0.0015941
дп;533;0.0015911
нх;520;0.0015523
ев;519;0.0015493
мэ;517;0.0015434
юф;516;0.0015404
ше;511;0.0015255
шл;508;0.0015165
бм;500;0.0014926
хи;498;0.0014866
сл;497;0.0014837
фм;496;0.0014807
яя;493;0.0014717
сч;493;0.0014717
ью;493;0.0014717
хв;471;0.001406
шу;467;0.0013941
сц;463;0.0013822
кш;462;0.0013792
эя;461;0.0013762
пъ;459;0.0013702
ох;453;0.0013523
вм;452;0.0013493
хж;449;0.0013404
ок;449;0.0013404
эй;449;0.0013404
бк;448;0.0013374
сй;444;0.0013254
кч;442;0.0013195
ео;440;0.0013135
юу;438;0.0013075
дб;438;0.0013075
юв;434;0.0012956
нь;428;0.0012777
еь;417;0.0012448
юо;415;0.0012389
же;415;0.0012389
ля;411;0.0012269
св;409;0.001221
ак;406;0.001212
мр;406;0.001212
пм;405;0.001209
пр;405;0.001209
юа;402;0.0012001
ах;396;0.0011821
цх;396;0.0011821
фд;396;0.0011821
вс;396;0.0011821
са;394;0.0011762
юи;392;0.0011702
йк;381;0.0011374
со;381;0.0011374
юц;378;0.0011284
хю;377;0.0011254
ых;370;0.0011045
гб;365;0.0010896
ос;364;0.0010866
йе;362;0.0010807
аю;357;0.0010657
гд;354;0.0010568
нъ;352;0.0010508
сб;349;0.0010418
еф;337;0.001006
дк;335;0.0010001
хп;334;0.00099707
яс;331;0.00098811
цс;330;0.00098512
ъд;329;0.00098214
бс;326;0.00097318
еы;326;0.00097318
шр;321;0.00095826
рй;315;0.00094035
чя;314;0.00093736
йр;313;0.00093438
шя;308;0.00091945
дф;307;0.00091646
дш;307;0.00091646
пэ;300;0.00089557
ръ;300;0.00089557
мя;299;0.00089258
бп;298;0.0008896
мд;291;0.0008687
жю;291;0.0008687
сь;287;0.00085676
кл;282;0.00084183
ую;276;0.00082392
ъм;276;0.00082392
ък;273;0.00081497
хх;271;0.000809
хь;263;0.00078511
ну;261;0.00077914
дэ;260;0.00077616
гн;260;0.00077616
ьэ;260;0.00077616
еу;259;0.00077317
ир;253;0.00075526
ъя;246;0.00073437
ия;245;0.00073138
бг;244;0.0007284
аъ;243;0.00072541
хц;241;0.00071944
ха;240;0.00071645
эь;240;0.00071645
яш;238;0.00071048
эе;237;0.0007075
бь;234;0.00069854
ьк;234;0.00069854
эч;232;0.00069257
сп;230;0.0006866
йм;218;0.00065078
фс;215;0.00064182
ьн;215;0.00064182
ыю;207;0.00061794
шь;206;0.00061496
ге;200;0.00059705
чр;199;0.00059406
гс;195;0.00058212
ьй;195;0.00058212
гш;192;0.00057316
пд;192;0.00057316
жх;189;0.00056421
лъ;188;0.00056122
пя;188;0.00056122
еж;187;0.00055824
ша;187;0.00055824
кй;182;0.00054331
им;181;0.00054033
мй;181;0.00054033
нч;180;0.00053734
гц;179;0.00053436
ъе;179;0.00053436
хч;177;0.00052839
пл;177;0.00052839
чы;177;0.00052839
се;175;0.00052241
гл;173;0.00051644
пф;173;0.00051644
сг;173;0.00051644
чд;172;0.00051346
рк;171;0.00051047
ош;170;0.00050749
эъ;170;0.00050749
ам;168;0.00050152
км;167;0.00049853
пб;167;0.00049853
су;165;0.00049256
хф;163;0.00048659
тн;163;0.00048659
ъл;163;0.00048659
дъ;162;0.00048361
дя;160;0.00047764
яв;160;0.00047764
ъб;155;0.00046271
гх;152;0.00045375
вй;150;0.00044778
ьм;150;0.00044778
ьс;147;0.00043883
пй;145;0.00043286
ча;143;0.00042689
оъ;142;0.0004239
пк;141;0.00042092
бъ;140;0.00041793
эл;139;0.00041495
кф;135;0.00040301
сы;134;0.00040002
ид;132;0.00039405
иь;132;0.00039405
те;132;0.00039405
гк;130;0.00038808
мж;130;0.00038808
шп;130;0.00038808
юы;128;0.00038211
вэ;127;0.00037912
дй;125;0.00037315
жн;125;0.00037315
бй;122;0.0003642
ен;122;0.0003642
хы;120;0.00035823
бр;119;0.00035524
кк;119;0.00035524
см;119;0.00035524
яд;118;0.00035226
яп;117;0.00034927
бо;116;0.00034629
дж;116;0.00034629
ъг;116;0.00034629
гп;115;0.0003433
пч;115;0.0003433
си;114;0.00034032
тх;114;0.00034032
ны;113;0.00033733
ъч;110;0.00032837
це;109;0.00032539
нн;109;0.00032539
ух;109;0.00032539
шй;109;0.00032539
ъф;109;0.00032539
бд;107;0.00031942
пц;107;0.00031942
пь;105;0.00031345
мц;104;0.00031046
еъ;103;0.00030748
уб;103;0.00030748
еч;102;0.00030449
шв;102;0.00030449
жш;100;0.00029852
йб;99;0.00029554
мв;99;0.00029554
гъ;98;0.00029255
нс;98;0.00029255
эж;98;0.00029255
бэ;97;0.00028957
ив;97;0.00028957
ъы;97;0.00028957
цм;96;0.00028658
чв;96;0.00028658
лк;95;0.0002836
щм;94;0.00028061
хо;92;0.00027464
ай;91;0.00027166
ул;90;0.00026867
ъц;89;0.00026569
фн;87;0.00025971
шм;87;0.00025971
ом;85;0.00025374
гй;84;0.00025076
юх;83;0.00024777
аы;83;0.00024777
нт;83;0.00024777
яу;83;0.00024777
ум;82;0.00024479
мч;81;0.0002418
хн;80;0.00023882
яч;78;0.00023285
ъу;78;0.00023285
ло;77;0.00022986
кр;76;0.00022688
ая;75;0.00022389
жс;75;0.00022389
аэ;74;0.00022091
йя;73;0.00021792
по;73;0.00021792
тю;72;0.00021494
цй;71;0.00021195
шц;71;0.00021195
фй;70;0.00020897
га;69;0.00020598
ют;67;0.00020001
гэ;67;0.00020001
пу;67;0.00020001
эг;66;0.00019702
ик;65;0.00019404
ыс;65;0.00019404
шо;65;0.00019404
эр;64;0.00019105
ъп;64;0.00019105
до;63;0.00018807
лй;63;0.00018807
ой;63;0.00018807
вь;63;0.00018807
щп;63;0.00018807
ес;61;0.0001821
уп;61;0.0001821
юж;60;0.00017911
ий;60;0.00017911
ро;60;0.00017911
бл;59;0.00017613
мп;59;0.00017613
ус;59;0.00017613
ъй;59;0.00017613
др;57;0.00017016
кц;57;0.00017016
нж;57;0.00017016
рд;57;0.00017016
щй;56;0.00016717
ящ;54;0.0001612
рв;54;0.0001612
рщ;54;0.0001612
ет;53;0.00015822
юс;52;0.00015523
рж;52;0.00015523
сх;51;0.00015225
йщ;50;0.00014926
щк;50;0.00014926
гф;49;0.00014628
ин;49;0.00014628
шд;49;0.00014628
ил;47;0.00014031
ъв;47;0.00014031
ов;46;0.00013732
яь;46;0.00013732
ща;46;0.00013732
аа;44;0.00013135
хт;44;0.00013135
ук;44;0.00013135
ех;43;0.00012836
мы;43;0.00012836
лэ;42;0.00012538
лп;41;0.00012239
