аСЙБЮ;оНБРНПЕМХЪ;вЮЯРНРЮ
н_;8686;0.018321
_м;7427;0.015666
_я;7221;0.015231
_о;7155;0.015092
_б;6983;0.014729
е_;6878;0.014508
рн;6019;0.012696
яр;5689;0.012
_н;5580;0.01177
ю_;5552;0.011711
ъ_;5434;0.011462
х_;5403;0.011397
мю;5353;0.011291
мн;4887;0.010308
ме;4816;0.010158
он;4438;0.0093611
_л;4357;0.0091902
_й;4241;0.0089455
_х;4194;0.0088464
ем;3758;0.0079267
йн;3738;0.0078846
цн;3610;0.0076146
ер;3543;0.0074732
пю;3493;0.0073678
йю;3442;0.0072602
нм;3437;0.0072497
э_;3423;0.0072201
_д;3362;0.0070915
еп;3292;0.0069438
мх;3246;0.0068468
пн;3235;0.0068236
_р;3230;0.006813
нр;3188;0.0067244
р_;3062;0.0064587
оп;3046;0.0064249
юк;3003;0.0063342
нк;2973;0.0062709
ре;2971;0.0062667
кх;2934;0.0061887
бю;2881;0.0060769
_а;2845;0.006001
бн;2840;0.0059904
пе;2822;0.0059524
ня;2770;0.0058428
и_;2764;0.0058301
нб;2752;0.0058048
рэ;2751;0.0058027
кн;2717;0.005731
рю;2656;0.0056023
л_;2585;0.0054525
гю;2580;0.005442
ек;2542;0.0053618
нл;2480;0.0052311
_в;2448;0.0051636
нп;2414;0.0050918
кю;2365;0.0049885
пх;2354;0.0049653
_с;2338;0.0049315
с_;2326;0.0049062
де;2295;0.0048408
_ъ;2278;0.004805
хр;2262;0.0047712
лн;2251;0.004748
бе;2230;0.0047037
_г;2216;0.0046742
ле;2199;0.0046384
к_;2165;0.0045666
юй;2159;0.004554
нц;2132;0.004497
юм;2126;0.0044844
ш_;2123;0.004478
нд;2115;0.0044612
ке;2050;0.0043241
ея;2048;0.0043198
юя;2038;0.0042988
б_;2031;0.004284
дю;2023;0.0042671
рх;1991;0.0041996
ве;1979;0.0041743
юр;1969;0.0041532
яъ;1936;0.0040836
дн;1928;0.0040667
м_;1898;0.0040035
ел;1895;0.0039971
хк;1866;0.003936
кэ;1864;0.0039317
ни;1845;0.0038917
_п;1799;0.0037946
хя;1770;0.0037335
ец;1752;0.0036955
_ц;1746;0.0036828
_е;1734;0.0036575
на;1733;0.0036554
й_;1704;0.0035942
яй;1686;0.0035563
яе;1645;0.0034698
вр;1645;0.0034698
фе;1620;0.0034171
мш;1618;0.0034128
юг;1539;0.0032462
хм;1511;0.0031872
ун;1493;0.0031492
аш;1491;0.003145
рп;1443;0.0030437
лх;1426;0.0030079
яэ;1418;0.002991
юл;1409;0.002972
бх;1390;0.0029319
як;1365;0.0028792
я_;1354;0.002856
юе;1353;0.0028539
лю;1353;0.0028539
ед;1345;0.002837
ян;1332;0.0028096
хл;1302;0.0027463
еи;1301;0.0027442
бш;1299;0.00274
ч_;1293;0.0027273
пс;1240;0.0026155
юб;1231;0.0025965
хб;1230;0.0025944
йп;1228;0.0025902
_к;1217;0.002567
_щ;1204;0.0025396
мъ;1199;0.0025291
дх;1194;0.0025185
мс;1188;0.0025058
бя;1184;0.0024974
мм;1184;0.0024974
ан;1182;0.0024932
йх;1181;0.0024911
лм;1181;0.0024911
щр;1170;0.0024679
не;1165;0.0024573
нй;1130;0.0023835
нв;1096;0.0023118
юч;1088;0.0022949
рб;1084;0.0022865
_у;1081;0.0022802
у_;1078;0.0022738
ье;1071;0.0022591
юд;1052;0.002219
ае;1051;0.0022169
ря;1032;0.0021768
нф;1021;0.0021536
вю;999;0.0021072
хг;987;0.0020819
лс;985;0.0020777
хе;957;0.0020186
юп;931;0.0019638
хй;925;0.0019511
_ю;913;0.0019258
сд;901;0.0019005
юъ;860;0.001814
ое;855;0.0018035
йс;843;0.0017781
рш;841;0.0017739
ях;823;0.001736
яо;823;0.001736
дм;820;0.0017296
цк;815;0.0017191
гм;806;0.0017001
шк;777;0.0016389
хд;770;0.0016242
вх;757;0.0015967
яю;754;0.0015904
_ф;752;0.0015862
ши;741;0.001563
къ;740;0.0015609
ою;738;0.0015567
дс;736;0.0015524
кс;735;0.0015503
фх;713;0.0015039
ху;713;0.0015039
ср;702;0.0014807
лш;691;0.0014575
яб;675;0.0014238
эм;674;0.0014217
ьх;658;0.0013879
рс;653;0.0013774
ск;650;0.001371
ър;648;0.0013668
нг;647;0.0013647
сф;633;0.0013352
еб;624;0.0013162
г_;624;0.0013162
пш;624;0.0013162
рм;624;0.0013162
цп;620;0.0013078
ег;608;0.0012825
еа;597;0.0012593
ся;594;0.0012529
хъ;583;0.0012297
цд;581;0.0012255
ям;581;0.0012255
ые;577;0.0012171
цю;559;0.0011791
ей;558;0.001177
фю;555;0.0011707
шб;554;0.0011686
но;542;0.0011432
ап;541;0.0011411
ее;540;0.001139
ял;538;0.0011348
юь;535;0.0011285
кя;535;0.0011285
ас;534;0.0011264
дп;533;0.0011243
нх;520;0.0010968
ев;519;0.0010947
