;À;Á;Â;Ã;Ä;Å;Æ;Ç;È;É;Ê;Ë;Ì;Í;Î;Ï;Ð;Ñ;Ò;Ó;Ô;Õ;Ö;×;Ø;Ù;Û;Ü;Ý;Þ;ß
À;1.4922e-06;0.0011878;0.0037008;0.0010505;0.0031621;0.0040365;0.001543;0.0047767;0.00022682;0.0011908;0.0064883;0.0089998;0.0043335;0.0063958;3.8798e-05;0.0012445;0.002886;0.0060973;0.0062033;0.00016713;0.00020891;0.0012729;0.00015818;0.0013117;0.0016206;0.00038649;-;-;-;0.0031203;0.0026532
Á;0.0011013;0.00013579;6.8643e-05;1.4922e-06;4.626e-05;0.0031352;1.6415e-05;2.9845e-06;0.0012386;-;0.00027159;0.0012117;9.6996e-05;0.00044767;0.0034561;-;0.0016952;0.00024174;1.4922e-05;0.0015967;-;7.312e-05;7.4612e-06;7.4612e-06;2.3876e-05;0.00024921;0.0044365;0.00021339;2.9845e-06;1.1938e-05;0.00069091
Â;0.0085506;1.1938e-05;5.0736e-05;1.0446e-05;0.00034173;0.0068405;-;0.00070733;0.0041276;-;0.00033277;0.001258;0.00017459;0.0014579;0.008473;0.00035068;0.000867;0.003474;0.00038202;0.00098339;-;8.655e-05;3.7306e-05;8.2074e-05;0.00065957;2.9845e-06;0.0038843;0.00029099;1.4922e-06;-;0.00041485
Ã;0.0016833;-;1.0446e-05;1.7907e-05;0.0017579;0.0003462;-;4.4767e-06;0.0011535;-;0.00020742;0.0024771;2.2384e-05;0.00032829;0.010649;-;0.0018713;8.655e-05;3.4322e-05;0.00099533;-;1.343e-05;-;7.312e-05;1.4922e-06;-;-;-;1.4922e-06;1.4922e-06;-
Ä;0.005966;5.969e-05;0.0012595;1.343e-05;0.00010446;0.006836;0.00090132;1.6415e-05;0.0035545;-;0.0003656;0.0009819;5.969e-05;0.0024921;0.0058213;0.00019101;0.0016101;0.00047603;0.00018056;0.0022175;8.9535e-06;7.6105e-05;0.00039545;6.8643e-05;9.5504e-05;-;0.00095504;0.0008088;-;3.5814e-05;0.00048946
Å;9.9981e-05;0.001822;0.0018459;0.0051706;0.0040067;0.0016624;0.0010759;0.0017429;0.00013579;0.003944;0.0016848;0.0075732;0.0058123;0.011099;0.00035068;0.0012759;0.0099473;0.0061496;0.010676;0.00021488;0.0001537;0.00077;0.00054019;0.0016101;0.0012445;0.00092072;-;-;-;0.00032382;0.00032531
Æ;0.0017012;1.6415e-05;4.4767e-06;1.343e-05;0.0011908;0.004811;1.6415e-05;-;0.0021682;-;0.00018504;3.8798e-05;1.343e-05;0.0013938;0.00028353;1.4922e-06;1.4922e-06;7.4612e-06;-;0.00062674;-;-;-;7.7597e-05;-;-;-;6.4167e-05;-;-;-
Ç;0.0076761;0.00020742;0.0010759;0.00053721;0.0010431;0.00057899;0.00013281;1.9399e-05;0.0004432;-;0.00023727;0.00042977;0.00049244;0.002407;0.00079985;-;0.00033725;1.6415e-05;2.5368e-05;0.00062674;-;-;5.969e-06;1.7907e-05;4.4767e-06;-;0.00060585;0.00020145;-;4.4767e-06;0.00032829
È;0.0011416;0.00078194;0.0037187;0.0007118;0.0021996;0.0028487;0.00051333;0.0029517;0.00076702;0.0014475;0.0026935;0.0056034;0.0039336;0.0044708;0.0002313;0.0002686;0.0010505;0.005296;0.0066211;3.5814e-05;0.00012535;0.0020339;0.0013072;0.0014281;0.00078642;0.00031636;-;-;7.0136e-05;0.00051333;0.0017549
É;1.4922e-06;7.4612e-06;1.0446e-05;1.4922e-06;0.00042231;1.4922e-05;-;3.4322e-05;4.4767e-06;-;0.00016713;0.00018653;0.00012983;0.00054169;0.00012386;2.3876e-05;4.4767e-06;0.00074612;0.00077299;-;8.9535e-06;1.4922e-06;8.8043e-05;0.00028054;0.00038052;2.9845e-06;-;-;-;-;1.4922e-06
Ê;0.010001;2.5368e-05;0.0003074;1.4922e-06;-;0.0011341;4.626e-05;6.5659e-05;0.0035396;-;9.9981e-05;0.0011446;1.343e-05;0.00065659;0.011271;-;0.0036366;0.00022085;0.00094758;0.0025309;2.9845e-06;3.5814e-05;5.6705e-05;-;1.0446e-05;-;-;5.969e-06;0.00015967;2.9845e-06;-
Ë;0.007027;5.0736e-05;2.2384e-05;0.00018355;8.655e-05;0.0062301;0.0004238;2.8353e-05;0.0087446;-;0.00055213;0.00037306;0.00089087;0.00051184;0.0080731;4.3275e-05;-;0.0014967;0.00019698;0.002116;4.4767e-06;1.4922e-06;-;0.00012983;8.9535e-06;5.969e-06;0.0013117;0.0055213;5.6705e-05;0.001446;0.0022712
Ì;0.0039694;6.7151e-05;1.4922e-06;7.0136e-05;-;0.006445;-;2.0891e-05;0.0041291;-;0.00017758;0.00025219;0.00010446;0.003556;0.0067733;0.00020444;0.00013878;0.0011699;2.5368e-05;0.0029666;2.8353e-05;2.9845e-06;1.4922e-05;0.00010595;5.969e-06;8.9535e-06;0.0020414;0.00014326;2.5368e-05;4.4767e-06;0.00057302
Í;0.015857;1.1938e-05;7.312e-05;0.00033874;0.00083417;0.014381;1.7907e-05;2.9845e-05;0.0098384;-;0.0005581;2.9845e-06;-;0.003662;0.014697;5.969e-06;0.0001537;0.00087297;0.0011729;0.0034665;2.3876e-05;1.1938e-05;0.00034471;0.00029099;2.8353e-05;0.00014326;0.0047349;0.001537;1.4922e-06;0.00025368;0.0034068
Î;7.4612e-06;0.0051408;0.0082611;0.0064465;0.0062376;0.0034725;0.0031382;0.0018683;0.001531;0.0056944;0.0034948;0.0088983;0.0074329;0.010488;0.00033128;0.0017101;0.0071971;0.0082551;0.0095937;0.00028502;0.00022682;0.00078194;0.00017907;0.0033098;0.0012938;0.00035963;-;-;9.6996e-05;0.00046707;0.00099085
Ï;0.0021265;-;-;1.4922e-06;-;0.0025249;-;-;0.0014221;-;0.00016266;0.001246;-;0.00027756;0.01313;4.0291e-05;0.0089445;1.7907e-05;8.0581e-05;0.0010819;2.9845e-06;-;5.969e-06;0.00014922;1.4922e-05;-;0.00049393;0.00010893;5.969e-06;2.9845e-06;0.00040738
Ð;0.010352;5.969e-05;0.00048797;0.00028204;0.00056407;0.0083148;0.00050289;5.8198e-05;0.007124;-;0.00039843;0.00041783;0.00053273;0.0011714;0.0094922;0.00020593;0.0001164;0.00058198;0.0011431;0.0036948;2.0891e-05;0.00019548;6.1182e-05;0.00012535;0.00028054;2.686e-05;0.0020011;0.00086998;9.4012e-05;0.00033874;0.0014475
Ñ;0.0022473;9.5504e-05;0.001916;4.1783e-05;0.00035217;0.0049707;8.3566e-05;1.0446e-05;0.00241;-;0.0049513;0.0041485;0.0015773;0.0016758;0.0039306;0.0025667;0.00032382;0.0014654;0.016782;0.0010431;2.5368e-05;0.00022682;6.4167e-05;0.00045514;0.00012087;1.4922e-06;0.00067151;0.004244;0.00016116;0.00027308;0.0059794
Ò;0.0079761;5.0736e-05;0.0031889;1.6415e-05;0.00013579;0.0088729;-;1.343e-05;0.0059914;-;0.00093116;0.00052826;6.7151e-05;0.0017862;0.01785;0.00021041;0.0042783;0.0030546;0.00011938;0.0019638;2.0891e-05;1.6415e-05;0.00013579;0.00015818;1.7907e-05;5.0736e-05;0.0025786;0.0081298;0.00015072;7.9089e-05;0.00084312
Ó;9.9981e-05;0.0011505;0.0010491;0.0014087;0.0026353;0.00047454;0.0018698;0.00051184;0.00015519;0.0003074;0.0012923;0.0019623;0.0015012;0.00039992;0.00011341;0.0011371;0.0006924;0.0018489;0.002122;1.0446e-05;2.9845e-05;0.00052826;2.9845e-06;0.0012774;0.0008476;0.00036709;-;-;5.969e-05;0.0015057;6.5659e-05
Ô;0.00022682;-;-;2.0891e-05;-;0.00041634;-;-;0.00035665;-;-;6.2674e-05;1.4922e-06;2.9845e-06;0.00047006;-;0.00012236;2.9845e-06;6.7151e-05;0.00012087;0.00010147;-;-;8.9535e-06;-;-;1.7907e-05;2.9845e-06;1.4922e-06;1.4922e-06;1.4922e-06
Õ;0.00089833;-;0.00034023;1.4922e-06;-;3.5814e-05;-;-;0.00032979;-;1.4922e-06;0.00014475;0.00024921;0.00022235;0.0043618;-;0.00021787;3.8798e-05;2.9845e-05;0.00015221;-;1.0446e-05;-;2.9845e-06;1.9399e-05;-;-;2.9845e-06;1.343e-05;-;-
Ö;0.0008655;-;0.00010893;-;1.4922e-06;0.0012654;-;-;0.00054915;-;2.686e-05;-;1.4922e-06;-;0.00038351;8.9535e-06;-;-;-;0.00024771;-;-;-;-;-;-;0.00030293;-;-;-;-
×;0.0029263;-;1.343e-05;-;-;0.0056258;-;-;0.0022682;-;0.00044767;1.7907e-05;8.9535e-06;0.0013803;0.00011192;-;1.6415e-05;-;0.0048722;0.0011983;-;-;-;2.9845e-06;0.00016564;-;-;0.00038798;1.4922e-06;-;-
Ø;0.0014326;-;2.5368e-05;-;-;0.0031173;-;-;0.0020459;-;0.00062525;0.00066704;1.9399e-05;0.00044469;0.0006357;1.6415e-05;1.9399e-05;-;9.4012e-05;0.00042678;-;-;1.1938e-05;-;-;-;-;0.00079985;-;2.9845e-06;-
Ù;0.0006551;-;-;-;-;0.0017952;-;-;0.0010416;-;-;-;-;0.0001343;1.4922e-06;-;5.969e-06;-;-;0.00017161;-;-;-;-;-;-;-;8.3566e-05;-;-;-
Û;-;0.00054019;0.0016355;0.00019399;0.00013132;0.0015206;9.5504e-05;8.9535e-05;1.1938e-05;0.0022399;0.00031337;0.0023443;0.001537;0.00026264;-;0.00019847;0.00040589;0.00096399;0.00097742;7.4612e-06;-;0.0014102;1.4922e-05;0.0002507;0.00067151;6.7151e-05;-;-;-;-;3.2829e-05
Ü;-;0.00010744;2.686e-05;6.8643e-05;5.5213e-05;0.0006939;-;0.00018056;5.2229e-05;-;0.0013415;-;0.00039097;0.0020414;2.2384e-05;1.4922e-06;-;0.0014147;0.00019698;-;1.4922e-05;-;0.00028651;7.7597e-05;0.00075209;1.343e-05;-;-;-;0.00068643;0.00054169
Ý;-;0.00013281;4.4767e-06;1.4922e-05;1.343e-05;2.9845e-06;-;2.0891e-05;-;6.5659e-05;0.00015221;0.00012535;6.5659e-05;0.0003074;-;1.6415e-05;0.00020295;2.686e-05;0.0035441;-;8.9535e-06;2.0891e-05;1.4922e-06;4.4767e-06;1.4922e-06;-;-;-;1.4922e-06;4.4767e-06;5.969e-06
