;_;À;Á;Â;Ã;Ä;Å;Æ;Ç;È;É;Ê;Ë;Ì;Í;Î;Ï;Ð;Ñ;Ò;Ó;Ô;Õ;Ö;×;Ø;Ù;Û;Ü;Ý;Þ;ß
_;2.5312e-05;0.0018794;0.005962;0.01487;0.0036829;0.007255;0.0036618;0.0015356;0.0046426;0.0089246;4.2187e-06;0.0091165;0.0025903;0.0091587;0.015621;0.011672;0.015236;0.0039096;0.015438;0.0069249;0.0048884;0.00070873;0.0022981;0.00033749;0.0052174;0.001023;0.00011179;-;-;0.0025417;8.0154e-05;0.0048188
À;0.011529;1.0547e-06;0.00083951;0.0026156;0.00074248;0.0022348;0.0028529;0.0010905;0.003376;0.00016031;0.00084162;0.0045857;0.0063607;0.0030627;0.0045203;2.7421e-05;0.00087959;0.0020397;0.0043094;0.0043842;0.00011812;0.00014765;0.00089963;0.00011179;0.00092705;0.0011454;0.00027316;-;-;-;0.0022053;0.0018752
Á;0.0002046;0.00077834;9.5974e-05;4.8515e-05;1.0547e-06;3.2695e-05;0.0022158;1.1601e-05;2.1093e-06;0.00087537;-;0.00019195;0.00085639;6.8553e-05;0.0003164;0.0024426;-;0.0011981;0.00017086;1.0547e-05;0.0011285;-;5.1678e-05;5.2733e-06;5.2733e-06;1.6875e-05;0.00017613;0.0031355;0.00015082;2.1093e-06;8.4373e-06;0.00048831
Â;0.0042535;0.0060432;8.4373e-06;3.5859e-05;7.3826e-06;0.00024152;0.0048346;-;0.00049991;0.0029172;-;0.00023519;0.00088908;0.0001234;0.0010304;0.0059884;0.00024785;0.00061276;0.0024553;0.00026999;0.00069502;-;6.117e-05;2.6367e-05;5.8006e-05;0.00046616;2.1093e-06;0.0027453;0.00020566;1.0547e-06;-;0.0002932
Ã;0.000463;0.0011897;-;7.3826e-06;1.2656e-05;0.0012424;0.00024468;-;3.164e-06;0.00081525;-;0.0001466;0.0017507;1.582e-05;0.00023203;0.0075261;-;0.0013225;6.117e-05;2.4257e-05;0.00070346;-;9.492e-06;-;5.1678e-05;1.0547e-06;-;-;-;1.0547e-06;1.0547e-06;-
Ä;0.00077623;0.0042165;4.2187e-05;0.00089014;9.492e-06;7.3826e-05;0.0048314;0.00063702;1.1601e-05;0.0025122;-;0.00025839;0.00069397;4.2187e-05;0.0017613;0.0041142;0.000135;0.001138;0.00033644;0.00012761;0.0015672;6.328e-06;5.3788e-05;0.00027949;4.8515e-05;6.7498e-05;-;0.00067498;0.00057163;-;2.5312e-05;0.00034593
Å;0.014371;7.0662e-05;0.0012877;0.0013046;0.0036544;0.0028318;0.0011749;0.00076041;0.0012318;9.5974e-05;0.0027875;0.0011907;0.0053524;0.0041079;0.0078446;0.00024785;0.00090174;0.0070304;0.0043463;0.0075451;0.00015187;0.00010863;0.00054421;0.00038179;0.001138;0.00087959;0.00065073;-;-;-;0.00022886;0.00022992
Æ;0.00014554;0.0012023;1.1601e-05;3.164e-06;9.492e-06;0.00084162;0.0034002;1.1601e-05;-;0.0015324;-;0.00013078;2.7421e-05;9.492e-06;0.00098506;0.00020039;1.0547e-06;1.0547e-06;5.2733e-06;-;0.00044296;-;-;-;5.4842e-05;-;-;-;4.5351e-05;-;-;-
Ç;0.0013099;0.0054252;0.0001466;0.00076041;0.00037968;0.00073721;0.00040921;9.3865e-05;1.3711e-05;0.00031323;-;0.00016769;0.00030374;0.00034804;0.0017012;0.0005653;-;0.00023835;1.1601e-05;1.7929e-05;0.00044296;-;-;4.2187e-06;1.2656e-05;3.164e-06;-;0.00042819;0.00014238;-;3.164e-06;0.00023203
È;0.01139;0.00080682;0.00055264;0.0026282;0.00050307;0.0015546;0.0020134;0.0003628;0.0020861;0.0005421;0.001023;0.0019037;0.0039603;0.0027801;0.0031598;0.00016347;0.00018984;0.00074248;0.003743;0.0046795;2.5312e-05;8.8592e-05;0.0014375;0.00092388;0.0010093;0.00055581;0.00022359;-;-;4.9569e-05;0.0003628;0.0012403
É;0.0057532;1.0547e-06;5.2733e-06;7.3826e-06;1.0547e-06;0.00029847;1.0547e-05;-;2.4257e-05;3.164e-06;-;0.00011812;0.00013183;9.1756e-05;0.00038284;8.7537e-05;1.6875e-05;3.164e-06;0.00052733;0.00054632;-;6.328e-06;1.0547e-06;6.2225e-05;0.00019828;0.00026894;2.1093e-06;-;-;-;-;1.0547e-06
Ê;0.0034509;0.0070684;1.7929e-05;0.00021726;1.0547e-06;-;0.00080154;3.2695e-05;4.6405e-05;0.0025017;-;7.0662e-05;0.00080893;9.492e-06;0.00046405;0.0079659;-;0.0025702;0.00015609;0.00066971;0.0017887;2.1093e-06;2.5312e-05;4.0077e-05;-;7.3826e-06;-;-;4.2187e-06;0.00011285;2.1093e-06;-
Ë;0.0045213;0.0049664;3.5859e-05;1.582e-05;0.00012972;6.117e-05;0.0044032;0.00029952;2.0039e-05;0.0061803;-;0.00039023;0.00026367;0.00062963;0.00036175;0.0057057;3.0585e-05;-;0.0010578;0.00013922;0.0014955;3.164e-06;1.0547e-06;-;9.1756e-05;6.328e-06;4.2187e-06;0.00092705;0.0039023;4.0077e-05;0.001022;0.0016052
Ì;0.0054136;0.0028054;4.746e-05;1.0547e-06;4.9569e-05;-;0.0045551;-;1.4765e-05;0.0029183;-;0.0001255;0.00017824;7.3826e-05;0.0025133;0.0047871;0.00014449;9.8084e-05;0.00082686;1.7929e-05;0.0020967;2.0039e-05;2.1093e-06;1.0547e-05;7.4881e-05;4.2187e-06;6.328e-06;0.0014428;0.00010125;1.7929e-05;3.164e-06;0.00040499
Í;0.0039782;0.011207;8.4373e-06;5.1678e-05;0.00023941;0.00058956;0.010164;1.2656e-05;2.1093e-05;0.0069534;-;0.00039444;2.1093e-06;-;0.0025881;0.010387;4.2187e-06;0.00010863;0.00061698;0.00082897;0.00245;1.6875e-05;8.4373e-06;0.00024363;0.00020566;2.0039e-05;0.00010125;0.0033464;0.0010863;1.0547e-06;0.00017929;0.0024078
Î;0.01824;5.2733e-06;0.0036333;0.0058386;0.0045561;0.0044085;0.0024542;0.002218;0.0013204;0.0010821;0.0040246;0.00247;0.006289;0.0052533;0.0074122;0.00023414;0.0012086;0.0050866;0.0058344;0.0067804;0.00020144;0.00016031;0.00055264;0.00012656;0.0023392;0.00091439;0.00025417;-;-;6.8553e-05;0.00033011;0.0007003
Ï;6.117e-05;0.0015029;-;-;1.0547e-06;-;0.0017845;-;-;0.0010051;-;0.00011496;0.00088064;-;0.00019617;0.00928;2.8476e-05;0.0063217;1.2656e-05;5.6952e-05;0.00076463;2.1093e-06;-;4.2187e-06;0.00010547;1.0547e-05;-;0.00034909;7.699e-05;4.2187e-06;2.1093e-06;0.00028792
Ð;0.00076569;0.0073162;4.2187e-05;0.00034487;0.00019933;0.00039866;0.0058766;0.00035542;4.1132e-05;0.005035;-;0.0002816;0.00029531;0.00037651;0.00082791;0.0067087;0.00014554;8.2264e-05;0.00041132;0.00080787;0.0026113;1.4765e-05;0.00013816;4.3241e-05;8.8592e-05;0.00019828;1.8984e-05;0.0014143;0.00061487;6.6444e-05;0.00023941;0.001023
Ñ;0.0027769;0.0015883;6.7498e-05;0.0013542;2.9531e-05;0.0002489;0.0035131;5.9061e-05;7.3826e-06;0.0017033;-;0.0034994;0.002932;0.0011148;0.0011844;0.002778;0.001814;0.00022886;0.0010357;0.011861;0.00073721;1.7929e-05;0.00016031;4.5351e-05;0.00032167;8.5428e-05;1.0547e-06;0.0004746;0.0029995;0.0001139;0.000193;0.004226
