;À;Á;Â;Ã;Ä;Å;Æ;Ç;È;É;Ê;Ë;Ì;Í;Î;Ï;Ð;Ñ;Ò;Ó;Ô;Õ;Ö;×;Ø;Ù;Û;Ü;Ý;Þ;ß
À;-;0.0012001;0.0036748;0.0011284;0.0031405;0.004039;0.0015404;0.0045943;0.00024777;0.0011702;0.0064451;0.0089646;0.0042062;0.0063466;2.9852e-05;0.0012389;0.0027792;0.0060839;0.0058779;0.00015523;0.00020001;0.0013075;0.00017911;0.0012956;0.0015971;0.00038211;-;-;-;0.0032479;0.0025673
Á;0.0010657;0.00013135;5.9705e-05;-;4.1793e-05;0.0031375;1.7911e-05;2.9852e-06;0.0011821;-;0.00027166;0.001212;0.00011045;0.00050152;0.0035285;-;0.001615;0.00022389;1.4926e-05;0.0015941;-;7.4631e-05;5.9705e-06;1.1941e-05;1.7911e-05;0.00024777;0.004451;0.00022091;2.9852e-06;5.9705e-06;0.00072541
Â;0.0086004;1.1941e-05;4.7764e-05;8.9557e-06;0.00031942;0.0066571;-;0.0007284;0.0041495;-;0.0003642;0.0013374;0.00017613;0.0014926;0.008478;0.00034629;0.0008896;0.0035345;0.00035524;0.00097318;-;9.2542e-05;3.2837e-05;6.866e-05;0.00069854;2.9852e-06;0.0038778;0.00028957;-;-;0.00041793
Ã;0.0016687;-;1.1941e-05;2.6867e-05;0.0017344;0.00032539;-;5.9705e-06;0.0011821;-;0.00021195;0.002433;1.7911e-05;0.00028658;0.010777;-;0.0018508;7.4631e-05;4.1793e-05;0.00098512;-;1.1941e-05;-;6.866e-05;-;-;-;-;-;-;-
Ä;0.0060391;6.5675e-05;0.0013075;8.9557e-06;8.3586e-05;0.0068511;0.00091646;2.3882e-05;0.0035644;-;0.00037315;0.0010001;5.6719e-05;0.0024479;0.0057555;0.00018807;0.0015911;0.00047764;0.00017016;0.0021971;8.9557e-06;7.7616e-05;0.00034629;7.1645e-05;9.5527e-05;-;0.00091646;0.00077616;-;4.4778e-05;0.00048361
Å;0.00011045;0.0017822;0.0018628;0.0052301;0.0040151;0.001612;0.001006;0.001815;0.00012836;0.0038838;0.0016658;0.0075884;0.005657;0.011218;0.0003642;0.0013135;0.0098274;0.0061137;0.010577;0.0001821;0.00015822;0.00077317;0.00055824;0.0015493;0.0012448;0.00097318;-;-;-;0.00030449;0.00030748
Æ;0.0016568;8.9557e-06;5.9705e-06;1.4926e-05;0.0011821;0.0048361;2.3882e-05;-;0.0021285;-;0.00020897;3.8808e-05;8.9557e-06;0.0014807;0.00025971;2.9852e-06;2.9852e-06;5.9705e-06;-;0.00064182;-;-;-;8.0601e-05;-;-;-;7.1645e-05;-;-;-
Ç;0.0077019;0.00020598;0.0010896;0.00053436;0.0010568;0.00059705;0.00014628;1.7911e-05;0.00045375;-;0.00025076;0.00038808;0.00051644;0.0024061;0.00077616;-;0.0003433;8.9557e-06;2.0897e-05;0.00058212;-;-;5.9705e-06;2.0897e-05;2.9852e-06;-;0.00057316;0.00020001;-;-;0.00029255
È;0.0011254;0.00071645;0.0036718;0.00071944;0.0022986;0.0028569;0.00048659;0.0029464;0.000809;0.0014866;0.0027613;0.0055704;0.0038868;0.0045107;0.00023882;0.00027464;0.00099707;0.0052839;0.0067526;3.8808e-05;0.00013135;0.0021285;0.0013404;0.001406;0.00078511;0.00035823;-;-;6.866e-05;0.00052839;0.0017404
É;-;8.9557e-06;2.9852e-06;-;0.00039405;1.1941e-05;-;3.2837e-05;5.9705e-06;-;0.00017911;0.00019404;0.00014031;0.00054033;0.00014628;2.9852e-05;-;0.00073138;0.00075526;-;2.9852e-06;-;0.0001015;0.00028957;0.00039405;-;-;-;-;-;-
