-----------4-----------
	b	freq
0	о	0,028
1	а	0,028
2	е	0,0245
3	н	0,0195
4	л	0,0195
5	и	0,0195
6	т	0,017
7	в	0,017
8	с	0,0145
9	р	0,014
10	п	0,0115
11	м	0,0115
12	к	0,01
13	д	0,0095
14	у	0,008
15	я	0,0075
16	ь	0,007
17	г	0,0065
18	ы	0,0065
19	б	0,0065
20	й	0,0055
21	з	0,004
22	ш	0,004
23	щ	0,002
24	ж	0,002
25	ч	0,002
26	х	0,002
27	ю	0,0015
28	ц	0,0005
29	э	0,0005

-----------6-----------
	b	freq
0	а	0,032
1	о	0,0265
2	е	0,026
3	и	0,0235
4	т	0,0175
5	н	0,0165
6	с	0,014
7	л	0,0135
8	к	0,013
9	у	0,012
10	в	0,011
11	м	0,011
12	р	0,011
13	д	0,009
14	п	0,0085
15	я	0,0075
16	ь	0,0075
17	й	0,0065
18	з	0,006
19	ы	0,006
20	б	0,0055
21	г	0,0055
22	ж	0,0045
23	ш	0,0035
24	ч	0,0025
25	х	0,0025
26	ц	0,0025
27	ю	0,0015
28	ф	0,0015
29	щ	0,0015
30	э	0,0005

--------8------------
	b	freq
0	е	0,035
1	а	0,0275
2	о	0,027
3	и	0,0225
4	н	0,019
5	л	0,017
6	в	0,0165
7	с	0,0155
8	р	0,0145
9	т	0,0145
10	м	0,01
11	у	0,0095
12	д	0,0095
13	ь	0,0095
14	п	0,009
15	к	0,0085
16	й	0,006
17	ы	0,006
18	з	0,0055
19	ч	0,0045
20	я	0,004
21	г	0,004
22	ш	0,0035
23	б	0,003
24	щ	0,0025
25	х	0,002
26	ц	0,0015
27	ж	0,001
28	ю	0,001
29	ф	0,0005

--------10------------
	b	freq
0	е	0,039
1	о	0,03
2	а	0,024
3	и	0,0205
4	н	0,0205
5	л	0,0185
6	т	0,0175
7	с	0,0155
8	р	0,015
9	к	0,014
10	в	0,0105
11	п	0,0105
12	м	0,01
13	д	0,01
14	у	0,0075
15	я	0,0075
16	з	0,0055
17	ы	0,005
18	г	0,005
19	ь	0,0045
20	й	0,004
21	ч	0,0035
22	б	0,003
23	х	0,002
24	ж	0,002
25	ю	0,0015
26	ш	0,0015
27	ц	0,0005
28	ф	0,0005
29	щ	0,0005
30	э	0,0005
