	а		б		в		г		д		е		ж		з		и		й		к		л		м		н		о		п		р		с		т		у		ф		х		ц		ч		ш		щ		ы		ь		э		ю		я
а	0		0.000344828	0		0.000344828	0.00344828	0		0.00103448	0		0		0		0.00103448	0.000344828	0.00344828	0.000689655	0.0110345	0.000689655	0		0		0		0.000344828	0		0.000689655	0		0		0.00310345	0		0		0.000344828	0.00172414	0		0.000344828	
б	0.000344828	0		0		0		0.000344828	0		0.00793103	0		0.00103448	0		0		0.00103448	0.000689655	0		0.000344828	0		0.00344828	0		0.00344828	0		0.000344828	0.000344828	0.000344828	0		0.000689655	0		0		0		0.00137931	0		0.00241379	
в	0.000344828	0		0		0.000344828	0		0.00241379	0		0.00655172	0		0		0.000344828	0.000689655	0.00206897	0		0.00448276	0		0		0		0		0.00344828	0.000344828	0.00482759	0.000689655	0.00103448	0.000344828	0.000689655	0		0		0.00206897	0		0.000689655	
г	0		0.00827586	0		0		0		0		0		0.000344828	0		0		0		0.00517241	0		0.000689655	0		0		0		0		0		0.00862069	0		0.00793103	0.000689655	0.00172414	0.000689655	0.000689655	0		0		0		0		0	
д	0.000344828	0		0.00586207	0.000689655	0		0.000344828	0		0.000689655	0		0.00103448	0.000344828	0.000689655	0		0.000344828	0.0193103	0.00241379	0		0.000689655	0		0.0103448	0		0.00586207	0.00206897	0.00103448	0		0.00551724	0		0.000344828	0.000689655	0		0	
е	0		0		0		0		0		0.000344828	0.00413793	0.00241379	0.000344828	0.000344828	0.000689655	0.00137931	0		0		0		0.000344828	0		0.000344828	0		0.000689655	0		0		0		0		0		0.000344828	0		0.00310345	0.01		0.000689655	0.00172414	
ж	0		0.012069	0.000344828	0.000689655	0		0.00206897	0		0.00586207	0		0		0.00103448	0.0062069	0		0		0		0.00103448	0		0		0		0		0.00172414	0		0		0.000344828	0		0		0		0		0.00206897	0		0	
з	0		0.00137931	0		0.00103448	0		0		0		0.000689655	0		0		0.000689655	0.00793103	0.000689655	0		0.00103448	0		0		0		0		0.0103448	0		0		0		0.0113793	0.00172414	0		0		0		0.00862069	0.000344828	0.00172414	
и	0		0.000689655	0		0.000344828	0.00206897	0.000689655	0		0.000689655	0		0		0.00241379	0.00517241	0		0		0		0.00517241	0.000344828	0.000689655	0		0		0		0.0037931	0		0.000344828	0.000344828	0.000344828	0.000689655	0		0.000689655	0.000344828	0	
й	0		0		0		0.000689655	0		0		0		0.00103448	0.00275862	0		0.000344828	0		0		0		0		0		0.00689655	0		0		0		0		0.000689655	0		0.00689655	0		0		0		0.00241379	0.00103448	0		0.00448276	
к	0		0.00172414	0		0.00172414	0		0		0		0		0		0		0.0037931	0.00103448	0		0		0		0		0.00103448	0		0		0		0.00344828	0.00103448	0		0		0		0		0		0		0		0.000344828	0	
л	0		0		0.00206897	0.00172414	0		0.00275862	0		0.00965517	0		0		0.000344828	0.00586207	0.000344828	0.000689655	0.00310345	0		0.00172414	0		0.000689655	0.00689655	0		0.00172414	0		0.000344828	0.00137931	0		0		0.00275862	0.000344828	0.00137931	0	
м	0.00172414	0.00103448	0		0.0037931	0		0.00103448	0		0.00413793	0		0		0		0.00206897	0		0		0.00344828	0.0062069	0		0		0		0.000344828	0		0.00413793	0		0		0.000689655	0.000689655	0		0		0.00103448	0		0	
н	0		0		0		0.000344828	0.00206897	0		0.0103448	0.000689655	0.00137931	0		0		0.00206897	0.000344828	0		0.000344828	0.00241379	0.000344828	0		0		0.0168966	0.000344828	0.00137931	0		0		0.000689655	0		0		0		0		0.00137931	0	
о	0.00172414	0.000689655	0		0		0		0.000689655	0.000689655	0.00344828	0		0		0.00517241	0.00310345	0.000344828	0		0.000689655	0		0		0		0		0.000344828	0		0		0		0.000344828	0.000344828	0		0		0.00103448	0.00344828	0.00137931	0	
п	0		0.00551724	0.000344828	0		0		0		0.00586207	0.00758621	0.00103448	0		0		0.00448276	0		0		0.00137931	0.000344828	0.00137931	0.000344828	0		0.000344828	0		0.000689655	0		0		0.00241379	0.000689655	0		0		0.000689655	0		0	
р	0		0.00103448	0		0.00758621	0		0.000344828	0		0.000344828	0		0		0		0.00172414	0		0		0.000689655	0		0.000344828	0		0.00172414	0.00482759	0		0.0162069	0		0.00241379	0		0.00758621	0.000344828	0		0.00241379	0		0.000344828	
с	0		0.00137931	0		0		0.00103448	0.00137931	0.000344828	0.00862069	0.000344828	0		0.00103448	0.00103448	0.000344828	0		0.00241379	0.00103448	0		0		0		0.0037931	0		0.00137931	0		0		0		0.000689655	0		0		0.000344828	0.000344828	0	
т	0.00103448	0		0		0		0		0		0.000344828	0.00137931	0		0		0.00103448	0.000344828	0		0		0		0		0.000344828	0		0		0.000344828	0.00275862	0.000344828	0.000344828	0.000344828	0		0.00344828	0		0		0.00103448	0		0.000344828	
у	0		0.000344828	0		0.01		0		0.000689655	0		0.000689655	0		0		0		0.000344828	0.00172414	0		0.00758621	0.00103448	0.00275862	0		0		0		0		0.00206897	0		0		0.00241379	0		0		0		0.00137931	0		0	
ф	0		0.00172414	0		0.000344828	0		0.00206897	0.00103448	0.00275862	0		0		0		0.00827586	0.00172414	0		0.00103448	0.00689655	0.000344828	0.000344828	0		0.0103448	0.00413793	0.0127586	0.00206897	0.000689655	0		0		0		0.00310345	0.00241379	0		0.000344828	
х	0.000344828	0.000344828	0.000344828	0		0		0.00310345	0		0.00344828	0		0.000344828	0.00172414	0.00172414	0		0		0		0.000344828	0		0		0		0.00275862	0		0.000344828	0		0.000689655	0		0		0		0		0.00206897	0.000344828	0	
ц	0.000689655	0		0		0		0		0		0		0		0		0		0.00689655	0.00275862	0		0.00103448	0		0.00827586	0.000344828	0.000689655	0		0.0037931	0		0.00482759	0		0.00448276	0.00172414	0		0		0.00103448	0.00172414	0		0	
